id,molecule_chembl_id,MW,LogP,NumHDonors,NumHAcceptors,Druglikeness
166,CHEMBL419470,309369.0,3.3001000000000014,3.0,4.0,0.0
167,CHEMBL80221,351.45000000000005,3.3443000000000023,1.0,4.0,1.0
168,CHEMBL431844,210.27999999999997,3.181700000000002,1.0,2.0,1.0
169,CHEMBL80247,323.3960000000001,3.3244000000000016,2.0,4.0,1.0
170,CHEMBL418917,323396.0,3.6423000000000014,2.0,4.0,0.0
171,CHEMBL77896,427.54800000000006,4.914700000000005,1.0,4.0,1.0
172,CHEMBL369661,232.714,3.349200000000001,1.0,2.0,1.0
173,CHEMBL502,379.50000000000017,4.361100000000004,0.0,4.0,1.0
174,CHEMBL74089,261325.0,1.4317,2.0,4.0,0.0
175,CHEMBL134057,232.7139999999999,3.349200000000001,1.0,2.0,1.0
176,CHEMBL76640,275352.0,1.7739,1.0,4.0,0.0
177,CHEMBL76241,351.45,3.3443000000000023,1.0,4.0,1.0
178,CHEMBL431784,261.32499999999993,1.7496,2.0,4.0,1.0
179,CHEMBL51934,214.26799999999997,2.1867000000000005,2.0,3.0,1.0
180,CHEMBL352500,244.725,3.8351000000000015,1.0,2.0,1.0
181,CHEMBL292314,232.71399999999997,3.349200000000001,1.0,2.0,1.0
182,CHEMBL355740,244725.0,3.8351000000000015,1.0,2.0,0.0
183,CHEMBL54727,337.42300000000006,3.6666000000000025,1.0,4.0,1.0
184,CHEMBL75919,337.42300000000006,3.6666000000000025,1.0,4.0,1.0
185,CHEMBL309351,309369.0,3.3001000000000014,3.0,4.0,0.0
186,CHEMBL75743,247.298,1.4073999999999998,3.0,4.0,1.0
187,CHEMBL76135,489.6190000000002,6.807400000000007,1.0,4.0,0.0
188,CHEMBL440497,427.54800000000006,4.914700000000005,1.0,4.0,1.0
189,CHEMBL368196,244.72499999999997,3.8351000000000015,1.0,2.0,1.0
190,CHEMBL62084,232.7139999999999,3.349200000000001,1.0,2.0,1.0
191,CHEMBL172118,244.72499999999997,3.8351000000000015,1.0,2.0,1.0
192,CHEMBL1202875,373.5000000000001,4.824700000000004,0.0,4.0,1.0
193,CHEMBL436367,204.27299999999997,1.8676,1.0,3.0,1.0
194,CHEMBL132365,228.29499999999996,2.7044000000000006,1.0,3.0,1.0
195,CHEMBL3215535,372.5160000000001,4.857800000000004,1.0,4.0,1.0
196,CHEMBL1202865,412.5810000000002,5.346500000000005,1.0,4.0,0.0
197,CHEMBL133520,218.2309999999999,2.2811000000000003,1.0,3.0,1.0
198,CHEMBL130373,201.229,1537.0,1.0,4.0,0.0
199,CHEMBL1202884,396.5380000000002,5.497200000000005,1.0,4.0,0.0
200,CHEMBL263198,202.30099999999996,2.4214,1.0,2.0,1.0
201,CHEMBL133906,212.29599999999996,3.004220000000002,1.0,2.0,1.0
202,CHEMBL1204162,384.52700000000016,4.183900000000003,1.0,3.0,1.0
203,CHEMBL134240,234.68599999999992,2.7954000000000008,1.0,3.0,1.0
204,CHEMBL132030,216.2589999999999,2.834900000000001,1.0,2.0,1.0
205,CHEMBL133448,199.25699999999995,2.0908,1.0,3.0,1.0
206,CHEMBL130880,188.27399999999997,2.0313,1.0,2.0,1.0
207,CHEMBL1202874,389.5680000000001,5.538000000000006,0.0,4.0,0.0
208,CHEMBL133441,201.229,1537.0,1.0,4.0,0.0
209,CHEMBL130427,199.25699999999995,2.0908,1.0,3.0,1.0
210,CHEMBL134154,230.26699999999997,2.1506,1.0,4.0,1.0
211,CHEMBL132260,200.24099999999996,2.1420000000000003,1.0,3.0,1.0
212,CHEMBL1204299,386.5430000000001,4.588120000000004,1.0,3.0,1.0
213,CHEMBL1204296,400.5700000000001,4.842100000000005,1.0,3.0,1.0
214,CHEMBL1202885,398.5540000000002,4.956400000000005,1.0,4.0,1.0
215,CHEMBL337453,234.68599999999992,2.7954000000000017,1.0,3.0,1.0
216,CHEMBL335922,190.24599999999995,1.4775,1.0,3.0,1.0
217,CHEMBL132619,214.26799999999997,2.4504200000000003,1.0,3.0,1.0
218,CHEMBL293316,192.282,2.4481,0.0,1.0,1.0
219,CHEMBL61515,192.282,2.535200000000001,1.0,1.0,1.0
220,CHEMBL442361,242342.0,3.4623000000000017,0.0,1.0,0.0
221,CHEMBL58034,166.24399999999997,1.5984,1.0,1.0,1.0
222,CHEMBL61965,406.5020000000001,4.732600000000005,0.0,4.0,1.0
223,CHEMBL59790,328.4320000000001,3.716000000000003,0.0,3.0,1.0
224,CHEMBL62210,270352.0,3.3790000000000022,0.0,2.0,0.0
225,CHEMBL57003,220.292,2.3648000000000007,0.0,2.0,1.0
226,CHEMBL291783,228315.0,3.159300000000002,1.0,1.0,0.0
227,CHEMBL294498,192282.0,2.1546000000000003,1.0,1.0,0.0
228,CHEMBL300170,404.5300000000001,5.286400000000005,0.0,3.0,0.0
229,CHEMBL61312,178255.0,2.1451,1.0,1.0,0.0
230,CHEMBL293268,256.369,3.4718000000000027,0.0,1.0,1.0
231,CHEMBL293751,242342.0,3.4623000000000026,0.0,1.0,0.0
232,CHEMBL59192,220.292,2.3648,0.0,2.0,1.0
233,CHEMBL300176,180271.0,1.9014,0.0,1.0,0.0
234,CHEMBL61905,242.342,3.4623000000000026,0.0,1.0,1.0
235,CHEMBL58511,356.44200000000006,3.7184000000000026,0.0,4.0,1.0
236,CHEMBL59074,404.53000000000014,5.286400000000005,0.0,3.0,0.0
237,CHEMBL294674,192.282,2.535200000000001,1.0,1.0,1.0
238,CHEMBL57842,192.282,2.4481,0.0,1.0,1.0
239,CHEMBL299898,270352.0,3.3790000000000022,0.0,2.0,0.0
240,CHEMBL60596,178255.0,2.1451000000000007,1.0,1.0,0.0
241,CHEMBL62031,330.4040000000001,3.162200000000002,0.0,4.0,1.0
242,CHEMBL60074,406.5020000000002,4.732600000000005,0.0,4.0,1.0
243,CHEMBL59490,206309.0,2.4576,0.0,1.0,0.0
244,CHEMBL61180,242.342,3.168800000000002,1.0,1.0,1.0
245,CHEMBL60180,330.40400000000005,3.162200000000002,0.0,4.0,1.0
246,CHEMBL294152,206.309,2.8382000000000014,0.0,1.0,1.0
247,CHEMBL305386,206.309,2.8382000000000014,0.0,1.0,1.0
248,CHEMBL294897,228315.0,3.1593000000000018,1.0,1.0,0.0
249,CHEMBL58190,270352.0,3.3790000000000022,0.0,2.0,0.0
250,CHEMBL60745,166.24399999999997,1.9790000000000003,1.0,1.0,1.0
251,CHEMBL58252,178255.0,2.1451,1.0,1.0,0.0
252,CHEMBL58194,192.282,2.4481,0.0,1.0,1.0
253,CHEMBL61126,192.282,2.535200000000001,1.0,1.0,1.0
254,CHEMBL294251,328.4320000000001,3.716000000000003,0.0,3.0,1.0
255,CHEMBL60874,228315.0,3.1593000000000018,1.0,1.0,0.0
256,CHEMBL294292,192.282,2.535200000000001,1.0,1.0,1.0
257,CHEMBL299435,538.6700000000002,2.4433000000000007,0.0,6.0,0.0
258,CHEMBL305670,261325.0,1.4317,2.0,4.0,0.0
259,CHEMBL75729,365477.0,3.3868000000000027,1.0,4.0,0.0
260,CHEMBL74950,367.4490000000001,3.675200000000002,1.0,5.0,1.0
261,CHEMBL74107,373.54100000000017,4.504600000000004,1.0,4.0,1.0
262,CHEMBL301610,512.6320000000002,2.053200000000001,0.0,6.0,0.0
263,CHEMBL74257,351.45,3.3443000000000023,1.0,4.0,1.0
264,CHEMBL307721,301.39000000000004,2.3301000000000007,1.0,4.0,1.0
265,CHEMBL308503,317.43300000000005,2.942600000000001,1.0,4.0,1.0
266,CHEMBL308043,289.379,2.1161000000000003,0.0,4.0,1.0
267,CHEMBL74926,337.42300000000006,3.6666000000000025,1.0,4.0,1.0
268,CHEMBL340542,450.5380000000002,5.196800000000005,0.0,5.0,0.0
269,CHEMBL128894,370.4520000000001,4.035000000000004,0.0,4.0,1.0
270,CHEMBL340866,343.43,3.894700000000002,2.0,2.0,1.0
271,CHEMBL337002,445.5220000000002,5.059880000000004,0.0,5.0,0.0
272,CHEMBL422971,343.43,3.894700000000002,2.0,2.0,1.0
273,CHEMBL340854,422.5280000000002,5.605300000000005,1.0,3.0,0.0
274,CHEMBL340599,454.9570000000001,5.841600000000005,0.0,4.0,0.0
275,CHEMBL128292,465.5090000000002,5.0964000000000045,0.0,6.0,0.0
276,CHEMBL348318,229.32299999999995,2.383400000000001,0.0,2.0,1.0
277,CHEMBL263322,271.40400000000005,3.5537000000000027,0.0,2.0,1.0
278,CHEMBL340216,346.4300000000001,4.034900000000003,1.0,3.0,1.0
279,CHEMBL131286,438.5020000000001,5.327300000000005,0.0,4.0,0.0
280,CHEMBL131318,450.5380000000002,5.196800000000004,0.0,5.0,0.0
281,CHEMBL340929,416.5210000000002,5.282900000000005,0.0,5.0,0.0
282,CHEMBL156157,244.338,1289.0,0.0,3.0,0.0
283,CHEMBL129684,358.4410000000001,4.159800000000003,0.0,4.0,1.0
284,CHEMBL155121,239.362,4.071700000000003,0.0,1.0,1.0
285,CHEMBL153865,243.35,2.773500000000001,0.0,2.0,1.0
286,CHEMBL157410,227.351,3.3580000000000023,0.0,1.0,1.0
287,CHEMBL155945,269388.0,3.4738000000000024,0.0,2.0,0.0
288,CHEMBL158232,189.302,2.9185000000000016,0.0,1.0,1.0
289,CHEMBL340409,266344.0,2.873100000000001,1.0,2.0,0.0
